URN,LA (code),LA (name),EstablishmentNumber,EstablishmentName,TypeOfEstablishment (name),EstablishmentTypeGroup (name),EstablishmentStatus (name),ReasonEstablishmentOpened (name),OpenDate,ReasonEstablishmentClosed (name),CloseDate,PhaseOfEducation (name),StatutoryLowAge,StatutoryHighAge,Boarders (name),NurseryProvision (name),OfficialSixthForm (name),Gender (name),ReligiousCharacter (name),ReligiousEthos (name),Diocese (name),AdmissionsPolicy (name),SchoolCapacity,SpecialClasses (name),CensusDate,NumberOfPupils,NumberOfBoys,NumberOfGirls,PercentageFSM,TrustSchoolFlag (name),Trusts (name),SchoolSponsorFlag (name),SchoolSponsors (name),FederationFlag (name),Federations (name),UKPRN,FEHEIdentifier,FurtherEducationType (name),OfstedLastInsp,LastChangedDate,Street,Locality,Address3,Town,County (name),Postcode,SchoolWebsite,TelephoneNum,HeadTitle (name),HeadFirstName,HeadLastName,HeadPreferredJobTitle,BSOInspectorateName (name),InspectorateReport,DateOfLastInspectionVisit,NextInspectionVisit,TeenMoth (name),TeenMothPlaces,CCF (name),SENPRU (name),EBD (name),PlacesPRU,FTProv (name),EdByOther (name),Section41Approved (name),SEN1 (name),SEN2 (name),SEN3 (name),SEN4 (name),SEN5 (name),SEN6 (name),SEN7 (name),SEN8 (name),SEN9 (name),SEN10 (name),SEN11 (name),SEN12 (name),SEN13 (name),TypeOfResourcedProvision (name),ResourcedProvisionOnRoll,ResourcedProvisionCapacity,SenUnitOnRoll,SenUnitCapacity,GOR (name),DistrictAdministrative (name),AdministrativeWard (name),ParliamentaryConstituency (name),UrbanRural (name),GSSLACode (name),Easting,Northing,MSOA (name),LSOA (name),InspectorateName (name),SENStat,SENNoStat,PropsName,OfstedRating (name),RSCRegion (name),Country (name),UPRN,SiteName,QABName (name),EstablishmentAccredited (name),QABReport,CHNumber,MSOA (code),LSOA (code),FSM,AccreditationExpiryDate,Linked establishments,,,
100049,202,Camden,4104,Haverstock School,Community school,Local authority maintained schools,Open,Not applicable,,Not applicable,,Secondary,11,18,No boarders,No Nursery Classes,Has a sixth form,Mixed,Does not apply,Does not apply,Not applicable,Non-selective,1336,No Special Classes,19-01-2023,982,559,423,63.5,Not applicable,,Not applicable,,Supported by a federation,H3 Federation,10002938,,Not applicable,03-07-2019,15-11-2023,24 Haverstock Hill,Chalk Farm,,London,,NW3 2BQ,http://www.haverstock.camden.sch.uk/,2072670975,Ms,Katie,Metselaar,Headteacher,Not applicable,,,,Not applicable,,Not applicable,Not applicable,Not applicable,,,Not applicable,Not applicable,ASD - Autistic Spectrum Disorder,,,,,,,,,,,,,Resourced provision,4,4,,,London,Camden,Haverstock,Holborn and St Pancras,(England/Wales) Urban major conurbation,E09000007,528159,184498,Camden 012,Camden 012B,,,,,Good,North-West London and South-Central England,,10091822489,,Not applicable,Not applicable,,,E02000177,E01000902,457,,Does not have links,,,
100050,202,Camden,4166,Parliament Hill School,Community school,Local authority maintained schools,Open,Not applicable,,Not applicable,,Secondary,11,18,No boarders,No Nursery Classes,Has a sixth form,Girls,Does not apply,Does not apply,Not applicable,Non-selective,1164,No Special Classes,19-01-2023,1249,62,1187,35.6,Not applicable,,Not applicable,,Not under a federation,,10004992,,Not applicable,09-02-2023,27-11-2023,Highgate Road,,,London,,NW5 1RL,http://www.parliamenthill.camden.sch.uk/,2074857077,Ms,Sarah,Creasey,Headteacher,Not applicable,,,,Not applicable,,Not applicable,Not applicable,Not applicable,,,Not applicable,Not applicable,,,,,,,,,,,,,,,,,,,London,Camden,Highgate,Holborn and St Pancras,(England/Wales) Urban major conurbation,E09000007,528369,186019,Camden 001,Camden 001D,,,,,Good,North-West London and South-Central England,,5109911,,Not applicable,Not applicable,,,E02000166,E01000912,317,,132838 Sixth Form Centre Link,,,
100051,202,Camden,4196,Regent High School,Community school,Local authority maintained schools,Open,Not applicable,,Not applicable,,Secondary,11,18,No boarders,No Nursery Classes,Has a sixth form,Mixed,Does not apply,Does not apply,Not applicable,Non-selective,1100,No Special Classes,19-01-2023,1079,606,473,61.8,Not applicable,,Not applicable,,Not under a federation,,10005970,,Not applicable,03-02-2023,14-11-2023,Chalton Street,Camden,,London,,NW1 1RX,http://www.regenthighschool.org.uk/,2073870126,Mr,Gary,Moore,Headteacher,Not applicable,,,,Not applicable,,Not applicable,Not applicable,Not applicable,,,Not applicable,Not applicable,SpLD - Specific Learning Difficulty,VI - Visual Impairment,OTH - Other Difficulty/Disability,HI - Hearing Impairment,"SLCN - Speech, language and Communication",ASD - Autistic Spectrum Disorder,"SEMH - Social, Emotional and Mental Health",PD - Physical Disability,MLD - Moderate Learning Difficulty,,,,,Resourced provision,3,4,,,London,Camden,St Pancras & Somers Town,Holborn and St Pancras,(England/Wales) Urban major conurbation,E09000007,529555,183356,Camden 022,Camden 022A,,,,,Good,North-West London and South-Central England,,5002198,,Not applicable,Not applicable,,,E02000187,E01000952,559,,Does not have links,,,
100052,202,Camden,4275,Hampstead School,Community school,Local authority maintained schools,Open,Not applicable,,Not applicable,,Secondary,11,18,No boarders,No Nursery Classes,Has a sixth form,Mixed,Does not apply,Does not apply,Not applicable,Non-selective,1320,No Special Classes,19-01-2023,1319,681,638,41.8,Not applicable,,Not applicable,,Not under a federation,,10002876,,Not applicable,20-04-2023,12-12-2023,Westbere Road,Hampstead,,London,,NW2 3RT,http://www.hampsteadschool.org.uk/,2077948133,Mr,Matthew,Sadler,Head,Not applicable,,,,Not applicable,,Not applicable,Not applicable,Not applicable,,,Not applicable,Not applicable,,,,,,,,,,,,,,,,,,,London,Camden,Fortune Green,Hampstead and Kilburn,(England/Wales) Urban major conurbation,E09000007,524402,185633,Camden 005,Camden 005A,,,,,Good,North-West London and South-Central England,,5090623,,Not applicable,Not applicable,,,E02000170,E01000871,432,,Does not have links,,,
100053,202,Camden,4285,Acland Burghley School,Community school,Local authority maintained schools,Open,Not applicable,,Not applicable,,Secondary,11,18,No boarders,No Nursery Classes,Has a sixth form,Mixed,Does not apply,Does not apply,Not applicable,Non-selective,1200,No Special Classes,19-01-2023,1163,765,398,34.3,Not applicable,,Not applicable,,Not under a federation,,10000101,,Not applicable,19-10-2023,13-12-2023,Burghley Road,,,London,,NW5 1UJ,http://www.aclandburghley.camden.sch.uk/,2074858515,Mr,Nicholas,John,Headteacher,Not applicable,,,,Not applicable,,Not applicable,Not applicable,Not applicable,,,Not applicable,Not applicable,ASD - Autistic Spectrum Disorder,,,,,,,,,,,,,Resourced provision,24,25,,,London,Camden,Kentish Town North,Holborn and St Pancras,(England/Wales) Urban major conurbation,E09000007,528962,185931,Camden 003,Camden 003E,,,,,Good,North-West London and South-Central England,,5011527,,Not applicable,Not applicable,,,E02000168,E01000928,311,,132838 Sixth Form Centre Link,,,
100054,202,Camden,4611,The Camden School for Girls,Voluntary aided school,Local authority maintained schools,Open,Not applicable,,Not applicable,,Secondary,11,18,No boarders,No Nursery Classes,Has a sixth form,Girls,None,Does not apply,Not applicable,Non-selective,1040,No Special Classes,19-01-2023,1047,139,908,27.6,Not applicable,,Not applicable,,Not under a federation,,10000001,,Not applicable,09-06-2022,14-11-2023,Sandall Road,,,London,,NW5 2DB,http://www.camdengirls.camden.sch.uk,2074853414,Mrs,Kateryna,Law,Headteacher,Not applicable,,,,Not applicable,,Not applicable,Not applicable,Not applicable,,,Not applicable,Not applicable,,,,,,,,,,,,,,,,,,,London,Camden,Kentish Town South,Holborn and St Pancras,(England/Wales) Urban major conurbation,E09000007,529441,184659,Camden 015,Camden 015F,,,,,Good,North-West London and South-Central England,,5090615,,Not applicable,Not applicable,,,E02000180,E01035707,165,,Does not have links,,,
100055,202,Camden,4652,Maria Fidelis Catholic School FCJ,Voluntary aided school,Local authority maintained schools,Open,Not applicable,,Not applicable,,Secondary,11,18,No boarders,No Nursery Classes,Has a sixth form,Mixed,Roman Catholic,Does not apply,Archdiocese of Westminster,Non-selective,917,No Special Classes,19-01-2023,832,451,381,51.3,Not applicable,,Not applicable,,Not under a federation,,10004201,,Not applicable,08-12-2021,14-11-2023,1 - 39 Drummond Crescent,,,London,,NW1 1LY,http://www.mariafidelis.camden.sch.uk/,2073873856,Mr,Mark,Anthony,Headteacher,Not applicable,,,,Not applicable,,Not applicable,Not applicable,Not applicable,,,Not applicable,Not applicable,,,,,,,,,,,,,,,,,,,London,Camden,St Pancras & Somers Town,Holborn and St Pancras,(England/Wales) Urban major conurbation,E09000007,529642,182873,Camden 022,Camden 022D,,,,,Good,North-West London and South-Central England,United Kingdom,5082123,,Not applicable,Not applicable,,,E02000187,E01000955,362,,Does not have links,,,
100056,202,Camden,4688,William Ellis School,Voluntary aided school,Local authority maintained schools,Open,Not applicable,,Not applicable,,Secondary,11,18,No boarders,No Nursery Classes,Has a sixth form,Boys,None,Does not apply,Not applicable,Non-selective,895,No Special Classes,19-01-2023,904,798,106,39.8,Not applicable,,Not applicable,,Not under a federation,,10007511,,Not applicable,19-05-2022,14-11-2023,Highgate Road,,,London,,NW5 1RN,http://www.williamellis.camden.sch.uk/,2072679346,Ms,Izzy,Jones,Headteacher,Not applicable,,,,Not applicable,,Not applicable,Not applicable,Not applicable,,,Not applicable,Not applicable,,,,,,,,,,,,,,Not applicable,,,,,London,Camden,Highgate,Holborn and St Pancras,(England/Wales) Urban major conurbation,E09000007,528267,186049,Camden 001,Camden 001D,,,,,Requires improvement,North-West London and South-Central England,,5109912,,Not applicable,Not applicable,,,E02000166,E01000912,243,,132838 Sixth Form Centre Link,,,
100059,202,Camden,5401,La Sainte Union Catholic Secondary School,Voluntary aided school,Local authority maintained schools,Open,Not applicable,,Not applicable,,Secondary,11,18,No boarders,No Nursery Classes,Has a sixth form,Girls,Roman Catholic,Does not apply,Archdiocese of Westminster,Non-selective,1219,No Special Classes,19-01-2023,817,40,777,34.7,Not applicable,,Not applicable,,Not under a federation,,10003733,,Not applicable,03-10-2019,25-09-2023,Highgate Road,,,London,,NW5 1RP,http://www.lasainteunion.org.uk/,2074284600,Mrs,Sophie,Fegan,Headteacher,Not applicable,,,,Not applicable,,Not applicable,Not applicable,Not applicable,,,Not applicable,Not applicable,,,,,,,,,,,,,,,,,,,London,Camden,Highgate,Holborn and St Pancras,(England/Wales) Urban major conurbation,E09000007,528379,186191,Camden 003,Camden 003A,,,,,Good,North-West London and South-Central England,,5090721,,Not applicable,Not applicable,,,E02000168,E01000910,197,,132838 Sixth Form Centre Link,,,
100171,203,Greenwich,3526,Saint Mary Magdalene Church of England All Through School,Voluntary aided school,Local authority maintained schools,Open,Not applicable,,Not applicable,,All-through,3,18,No boarders,Has Nursery Classes,Has a sixth form,Mixed,Church of England,Does not apply,Diocese of Southwark,Non-selective,1860,No Special Classes,19-01-2023,1708,874,834,41.4,Not applicable,,Not applicable,,Supported by a federation,Koinonia Federation,10068732,,Not applicable,23-05-2018,11-09-2023,Kingsman Street,,,London,,SE18 5PW,www.koinoniafederation.com,2088543531,Co Headteacher,Claire Harrison /,Victoria Wainwright,Co - Headteachers,Not applicable,,,,Not applicable,,Not applicable,Not applicable,Not applicable,,,Not applicable,Not applicable,,,,,,,,,,,,,,,,,,,London,Greenwich,Woolwich Dockyard,Greenwich and Woolwich,(England/Wales) Urban major conurbation,E09000011,543194,178936,Greenwich 042,Greenwich 042B,,,,,Good,South-East England and South London,,10010240417,,Not applicable,Not applicable,,,E02006994,E01033737,625,,Does not have links,,,
